UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1356998400,13.5599728441957,13.5601966612815,13.1643143949907,13.3556394747927,29007.09895302,386974.10530002,29007.09895302,386974.10530002,28406.21099533,378879.352343769,28406.21099533,378879.352343769
DAY,1357084800,13.3556394747927,13.42324867458,13.2399123606821,13.2944949976478,20396.87234156,271955.356139122,20396.87234156,271955.356139122,17966.80725594,239156.180622188,17966.80725594,239156.180622188
DAY,1357171200,13.2944949976478,13.4562611058013,13.2681300988673,13.4254513211494,19832.39770533,264748.290624309,19832.39770533,264748.290624309,18032.25143367,240845.857100986,18032.25143367,240845.857100986
DAY,1357257600,13.4254513211494,13.5235011122196,13.2730976635218,13.5165440963178,35242.86982479,473173.32261221,35242.86982479,473173.32261221,29641.91633352,397884.350102468,29641.91633352,397884.350102468
DAY,1357344000,13.5165440963178,13.5428061413069,13.3002884937235,13.4425028839674,26589.44831375,356979.562481244,26589.44831375,356979.562481244,21329.92729215,286932.511146099,21329.92729215,286932.511146099
DAY,1357430400,13.4425028839674,13.5287306467316,13.3536307083973,13.5182959408963,15546.25469946,209099.388364965,15546.25469946,209099.388364965,12741.13085177,171497.013915077,12741.13085177,171497.013915077
DAY,1357516800,13.5182959408963,13.5946146476384,13.4040288599737,13.5879010666274,30399.26290989,410833.215367167,30399.26290989,410833.215367167,25477.72141758,344083.329920572,25477.72141758,344083.329920572
DAY,1357603200,13.5879010666274,13.8979047415913,13.5491182474902,13.8059450561667,49361.05526677,678280.932702334,49361.05526677,678280.932702334,42798.37278964,587223.85996135,42798.37278964,587223.85996135
DAY,1357689600,13.8059450561667,13.8782215368808,13.6437454307333,13.851810954259,32343.02006561,445408.416043041,32343.02006561,445408.416043041,28606.37664488,393192.236636785,28606.37664488,393192.236636785
DAY,1357776000,13.851810954259,14.3327360674121,13.806910647928,14.1403692398625,60645.82444001,854600.364662197,60645.82444001,854600.364662197,51811.03423682,727790.476870673,51811.03423682,727790.476870673
DAY,1357862400,14.1403692398625,14.3880413598889,13.9925062054275,14.2743814397457,44652.82054004,631813.513153385,44652.82054004,631813.513153385,40434.5449653,570677.266919758,40434.5449653,570677.266919758
DAY,1357948800,14.2743814397457,14.32897675858,14.0419931005803,14.2556120854955,30260.80898589,429580.508988682,30260.80898589,429580.508988682,26931.83580313,381546.956140691,26931.83580313,381546.956140691
DAY,1358035200,14.2556120854955,14.3185525388423,13.9798216679683,14.1896432167947,40540.56100316,572638.152632761,40540.56100316,572638.152632761,38330.15242254,540759.579035161,38330.15242254,540759.579035161
DAY,1358121600,14.1896432167947,14.3540701200395,14.1125183094331,14.3413530803312,23512.94174585,335467.731524858,23512.94174585,335467.731524858,22220.72520312,316815.914877669,22220.72520312,316815.914877669
DAY,1358208000,14.3413530803312,14.4277132304027,14.0548255276732,14.3547112047567,63356.49579489,902332.656182215,63356.49579489,902332.656182215,51707.22503298,734376.030590351,51707.22503298,734376.030590351
DAY,1358294400,14.3547112047567,14.7486517795144,14.2115499208862,14.741671428825,53585.53171535,779469.004044226,53585.53171535,779469.004044226,46206.52120172,670941.498646516,46206.52120172,670941.498646516
DAY,1358380800,14.741671428825,15.6863274050784,14.6506309928273,15.5286807890871,77463.02835057,1176476.92924112,77463.02835057,1176476.92924112,67201.5682078,1019609.95687672,67201.5682078,1019609.95687672
DAY,1358467200,15.5286807890871,15.9756077225392,15.4437636764133,15.710059558545,62014.14878444,973242.388786049,62014.14878444,973242.388786049,57178.55120115,896996.813471406,57178.55120115,896996.813471406
DAY,1358553600,15.710059558545,15.7770581568837,15.2943694421116,15.6144642016732,37146.82695388,574627.764621021,37146.82695388,574627.764621021,34932.82233551,540101.193525224,34932.82233551,540101.193525224
DAY,1358640000,15.6144642016732,15.8888154024977,15.5100520400493,15.7010026178448,29083.90602749,456979.50317861,29083.90602749,456979.50317861,26407.98306474,415301.520924016,26407.98306474,415301.520924016
DAY,1358726400,15.7010026178448,16.9529738773277,15.6192613709299,16.8212499688939,72358.91808925,1185628.64511705,72358.91808925,1185628.64511705,61944.52996966,1015034.71639228,61944.52996966,1015034.71639228
DAY,1358812800,16.8212499688939,17.593549660103,16.6713460760208,17.2826816449062,69706.13470773,1196814.87929281,69706.13470773,1196814.87929281,61657.702936,1057914.18213852,61657.702936,1057914.18213852
DAY,1358899200,17.2826816449062,17.5960164794806,16.848356177489,17.5163862905568,55948.59345246,964950.938654704,55948.59345246,964950.938654704,49974.13727661,860615.240465515,49974.13727661,860615.240465515
DAY,1358985600,17.5163862905568,19.2054079457426,15.7728983984689,16.7789998792135,198112.83334418,3527276.25700597,198112.83334418,3527276.25700597,174825.18605188,3104960.88094552,174825.18605188,3104960.88094552
DAY,1359072000,16.7789998792135,17.8040384509316,15.4669107627671,17.4683551962752,95961.91032198,1606092.03062671,95961.91032198,1606092.03062671,82693.89611121,1379099.07052437,82693.89611121,1379099.07052437
DAY,1359158400,17.4683551962752,17.8026946637477,16.6575379749091,17.8026946637477,38453.94430133,660019.333752857,38453.94430133,660019.333752857,35687.92384235,612390.377325885,35687.92384235,612390.377325885
DAY,1359244800,17.8026946637477,17.9550542216326,17.2409775231286,17.9550542216326,26038.21532814,459760.988740425,26038.21532814,459760.988740425,24310.15552031,429277.327529353,24310.15552031,429277.327529353
DAY,1359331200,17.9550542216326,18.8698587858402,17.7771649664061,18.7861615500321,66855.03400321,1226839.0142475,66855.03400321,1226839.0142475,58861.92736597,1079828.23392931,58861.92736597,1079828.23392931
DAY,1359417600,18.7861615500321,19.7789786785333,18.7000397200225,19.5621580238926,103241.23597724,1986306.50770667,103241.23597724,1986306.50770667,86917.86282393,1666573.79414829,86917.86282393,1666573.79414829
DAY,1359504000,19.5621580238926,19.8056579890452,19.1684427659,19.7981933478705,52330.35425428,1021697.15293906,52330.35425428,1021697.15293906,45481.37741255,886158.574275434,45481.37741255,886158.574275434
DAY,1359590400,19.7981933478705,21.3572329714563,19.6471382273118,20.502697917887,118525.43014857,2441520.41002368,118525.43014857,2441520.41002368,103101.77821587,2122960.33194916,103101.77821587,2122960.33194916
DAY,1359676800,20.502697917887,21.1453545833998,20.3068565019032,20.499544897991,56691.53615563,1176283.87144127,56691.53615563,1176283.87144127,51116.13335744,1059994.00812072,51116.13335744,1059994.00812072
DAY,1359763200,20.499544897991,20.5120495576594,18.2093509563562,19.6916865333504,94361.23670926,1841660.81792913,94361.23670926,1841660.81792913,84730.42995347,1651105.86966986,84730.42995347,1651105.86966986
DAY,1359849600,19.6916865333504,20.8949435891934,19.4424039727609,20.5855190552894,37742.4994346,764357.646682723,37742.4994346,764357.646682723,35483.59032852,719463.07861727,35483.59032852,719463.07861727
