Date,Open,High,Low,Close
05/29/2025,"5,939.96","5,943.13","5,873.80","5,912.17"
05/28/2025,"5,925.54","5,939.92","5,881.88","5,888.55"
05/27/2025,"5,854.07","5,924.33","5,854.07","5,921.54"
05/23/2025,"5,781.89","5,829.51","5,767.41","5,802.82"
05/22/2025,"5,841.26","5,878.08","5,825.82","5,842.01"
05/21/2025,"5,910.18","5,938.37","5,830.91","5,844.61"
05/20/2025,"5,944.66","5,953.06","5,909.26","5,940.46"
05/19/2025,"5,902.88","5,968.61","5,895.69","5,963.60"
05/16/2025,"5,929.09","5,958.62","5,907.36","5,958.38"
05/15/2025,"5,869.82","5,924.21","5,865.16","5,916.93"
05/14/2025,"5,896.74","5,906.55","5,872.11","5,892.58"
05/13/2025,"5,854.15","5,906.64","5,845.02","5,886.55"
05/12/2025,"5,807.20","5,845.37","5,786.08","5,844.19"
05/09/2025,"5,679.65","5,691.69","5,644.15","5,659.91"
05/08/2025,"5,663.60","5,720.10","5,635.38","5,663.94"
05/07/2025,"5,614.18","5,654.73","5,578.64","5,631.28"
05/06/2025,"5,605.87","5,649.58","5,586.04","5,606.91"
05/05/2025,"5,655.32","5,683.38","5,634.48","5,650.38"
05/02/2025,"5,645.88","5,700.70","5,642.28","5,686.67"
05/01/2025,"5,625.14","5,658.91","5,597.35","5,604.14"
04/30/2025,"5,499.44","5,581.84","5,433.24","5,569.06"
04/29/2025,"5,508.87","5,571.95","5,505.70","5,560.83"
04/28/2025,"5,529.22","5,553.66","5,468.64","5,528.75"
04/25/2025,"5,489.73","5,528.11","5,455.86","5,525.21"
04/24/2025,"5,381.38","5,489.40","5,371.96","5,484.77"
04/23/2025,"5,395.92","5,469.69","5,356.17","5,375.86"
04/22/2025,"5,207.67","5,309.61","5,207.67","5,287.76"
04/21/2025,"5,232.94","5,232.94","5,101.63","5,158.20"
04/17/2025,"5,305.45","5,328.31","5,255.58","5,282.70"
04/16/2025,"5,335.75","5,367.24","5,220.79","5,275.70"
04/15/2025,"5,411.99","5,450.41","5,386.44","5,396.63"
04/14/2025,"5,441.96","5,459.46","5,358.02","5,405.97"
04/11/2025,"5,255.56","5,381.46","5,220.77","5,363.36"
04/10/2025,"5,353.15","5,353.15","5,115.27","5,268.05"
04/09/2025,"4,965.28","5,481.34","4,948.43","5,456.90"
04/08/2025,"5,193.57","5,267.47","4,910.42","4,982.77"
04/07/2025,"4,953.79","5,246.57","4,835.04","5,062.25"
04/04/2025,"5,292.14","5,292.14","5,069.90","5,074.08"
04/03/2025,"5,492.74","5,499.53","5,390.83","5,396.52"
04/02/2025,"5,580.76","5,695.31","5,571.48","5,670.97"
04/01/2025,"5,597.53","5,650.57","5,558.52","5,633.07"
03/31/2025,"5,527.91","5,627.56","5,488.73","5,611.85"
03/28/2025,"5,679.20","5,685.89","5,572.42","5,580.94"
03/27/2025,"5,695.64","5,732.28","5,670.94","5,693.31"
03/26/2025,"5,771.66","5,783.62","5,694.41","5,712.20"
03/25/2025,"5,775.96","5,786.95","5,760.42","5,776.65"
03/24/2025,"5,718.08","5,775.14","5,718.08","5,767.57"
03/21/2025,"5,630.73","5,670.84","5,603.10","5,667.56"
03/20/2025,"5,646.92","5,711.15","5,632.33","5,662.89"
03/19/2025,"5,632.37","5,715.33","5,622.20","5,675.29"
03/18/2025,"5,654.53","5,654.53","5,597.76","5,614.66"
03/17/2025,"5,635.60","5,703.52","5,631.12","5,675.12"
03/14/2025,"5,563.85","5,645.27","5,563.85","5,638.94"
03/13/2025,"5,594.45","5,597.78","5,504.65","5,521.52"
03/12/2025,"5,624.84","5,642.19","5,546.09","5,599.30"
03/11/2025,"5,603.65","5,636.30","5,528.41","5,572.07"
03/10/2025,"5,705.37","5,705.37","5,564.02","5,614.56"
03/07/2025,"5,726.01","5,783.01","5,666.29","5,770.20"
03/06/2025,"5,785.87","5,812.08","5,711.64","5,738.52"
03/05/2025,"5,781.36","5,860.59","5,742.35","5,842.63"
03/04/2025,"5,811.98","5,865.08","5,732.59","5,778.15"
03/03/2025,"5,968.33","5,986.09","5,810.91","5,849.72"
02/28/2025,"5,856.74","5,959.40","5,837.66","5,954.50"
02/27/2025,"5,981.88","5,993.69","5,858.78","5,861.57"
02/26/2025,"5,970.87","6,009.82","5,932.69","5,956.06"
02/25/2025,"5,982.73","5,992.65","5,908.49","5,955.25"
